abbreviation,region name,6-F-DET1 count,6-F-DET2 count,6-F-DET3 count,6-F-DET4 count,6-F-DET5 count,6-F-DET6 count,6-F-DET7 count,6-F-DET8 count,A-SSRI1 count,A-SSRI2 count,A-SSRI3 count,A-SSRI4 count,A-SSRI5 count,A-SSRI6 count,A-SSRI7 count,A-SSRI8 count,C-SSRI1 count,C-SSRI2 count,C-SSRI3 count,C-SSRI4 count,C-SSRI5 count,C-SSRI6 count,C-SSRI7 count,C-SSRI8 count,DMT1 count,DMT2 count,DMT3 count,DMT4 count,DMT5 count,DMT6 count,DMT7 count,DMT8 count,KET1 count,KET2 count,KET3 count,KET4 count,KET5 count,KET6 count,KET7 count,KET8 count,MDMA1 count,MDMA2 count,MDMA3 count,MDMA4 count,MDMA5 count,MDMA6 count,MDMA7 count,MDMA8 count,PSI1 count,PSI2 count,PSI3 count,PSI4 count,PSI5 count,PSI6 count,PSI7 count,PSI8 count,SAL1 count,SAL2 count,SAL3 count,SAL4 count,SAL5 count,SAL6 count,SAL7 count,SAL8 count
FRP,Frontal pole cerebral cortex,2527.0,3366.0,2431.0,15881.0,17294.0,10002.0,10655.0,14578.0,4297.0,2320.0,1873.0,3262.0,2331.0,1737.0,6635.0,1847.0,775.0,1302.0,833.0,1647.0,1570.0,1614.0,896.0,1091.0,9574.0,7781.0,17598.0,4425.0,7428.0,8302.0,4288.0,5278.0,2942.0,9370.0,1993.0,9810.0,7207.0,11913.0,5499.0,14033.0,14101.0,14080.0,13021.0,14608.0,13623.0,14286.0,13326.0,17120.0,2980.0,9268.0,1655.0,6935.0,3463.0,12902.0,3488.0,4498.0,7404.0,4925.0,12521.0,10363.0,4621.0,14568.0,800.0,6145.0
ILA,Infralimbic area,5439.0,8905.0,3175.0,9611.0,21586.0,6566.0,11255.0,18982.0,5028.0,11432.0,14109.0,13773.0,13181.0,20988.0,7812.0,9091.0,3352.0,6365.0,7511.0,5790.0,6080.0,6828.0,8769.0,6725.0,12138.0,6742.0,28070.0,1685.0,15612.0,17191.0,6061.0,7449.0,26266.0,16070.0,19423.0,23379.0,12659.0,15366.0,16999.0,26786.0,15678.0,19926.0,14024.0,15188.0,15311.0,16781.0,14288.0,16770.0,7100.0,4751.0,8543.0,10770.0,14653.0,15345.0,7865.0,5986.0,9665.0,8049.0,10853.0,2844.0,15950.0,15610.0,11818.0,21908.0
ORBl,Orbital area lateral part,17575.0,23939.0,13940.0,43990.0,96309.0,17561.0,51354.0,96023.0,16644.0,37202.0,28689.0,25857.0,23043.0,15582.0,30958.0,17778.0,9138.0,9322.0,20219.0,13593.0,11475.0,24451.0,19115.0,10781.0,48129.0,45849.0,120147.0,28655.0,40438.0,54206.0,39938.0,24600.0,18632.0,23527.0,25693.0,24412.0,40309.0,76729.0,45833.0,80466.0,68356.0,78932.0,67971.0,77775.0,62394.0,72820.0,71162.0,85102.0,17561.0,35397.0,18642.0,43822.0,18548.0,51547.0,8589.0,15129.0,56825.0,30618.0,58755.0,14705.0,27030.0,59809.0,5258.0,36482.0
ORBm,Orbital area medial part,13641.0,10399.0,6992.0,19634.0,29069.0,13848.0,24438.0,29788.0,6143.0,12661.0,17336.0,13613.0,16076.0,16278.0,14271.0,9314.0,4652.0,8659.0,7595.0,8839.0,8097.0,11962.0,15415.0,6527.0,17225.0,8551.0,34163.0,6330.0,14908.0,23250.0,7993.0,10001.0,26711.0,33486.0,21247.0,28971.0,22797.0,25571.0,22001.0,37775.0,25368.0,30527.0,24049.0,28737.0,23314.0,27425.0,24975.0,26712.0,7340.0,13098.0,7450.0,13737.0,10022.0,17804.0,5054.0,7436.0,13035.0,16101.0,14017.0,7855.0,14665.0,31398.0,10181.0,28912.0
ORBvl,Orbital area ventrolateral part,15846.0,13711.0,9594.0,43011.0,39520.0,17580.0,36928.0,46203.0,11682.0,24502.0,36990.0,24050.0,20598.0,16528.0,28842.0,10982.0,13188.0,13533.0,23090.0,17166.0,14770.0,22438.0,24899.0,15109.0,32690.0,24460.0,58132.0,16015.0,24182.0,31926.0,15148.0,14591.0,23497.0,36967.0,20877.0,25297.0,35089.0,50281.0,36423.0,68908.0,46672.0,56932.0,49838.0,52966.0,45623.0,50132.0,51186.0,58512.0,14416.0,19928.0,11629.0,24961.0,10141.0,17572.0,5264.0,9444.0,37775.0,26349.0,33593.0,10743.0,22070.0,38128.0,9440.0,23576.0
AId,Agranular insular area dorsal part,20036.0,29356.0,20673.0,44764.0,76532.0,27372.0,39252.0,72754.0,14605.0,15198.0,11975.0,12488.0,28418.0,14536.0,13091.0,20905.0,3899.0,5779.0,6045.0,10318.0,6164.0,11008.0,3554.0,3629.0,27675.0,33674.0,142433.0,31908.0,29145.0,51636.0,39032.0,31133.0,14547.0,13331.0,17801.0,45912.0,23369.0,35567.0,19471.0,54048.0,59674.0,61877.0,54151.0,56931.0,49588.0,52090.0,59529.0,57413.0,13135.0,32009.0,20910.0,40175.0,33799.0,63304.0,40438.0,37140.0,45924.0,16549.0,34318.0,11374.0,23816.0,34759.0,14067.0,34261.0
AIp,Agranular insular area posterior part,12012.0,9296.0,18478.0,28394.0,36772.0,21652.0,13321.0,44896.0,16409.0,9414.0,7116.0,13154.0,24693.0,17012.0,7253.0,18837.0,3229.0,6060.0,3509.0,6762.0,6123.0,5268.0,3188.0,3601.0,14988.0,10315.0,35142.0,14553.0,11422.0,23320.0,23231.0,21736.0,20639.0,17722.0,18236.0,53359.0,16530.0,23549.0,19782.0,29308.0,25047.0,31878.0,22751.0,23930.0,24378.0,21190.0,25273.0,28341.0,6332.0,13668.0,13472.0,23588.0,17234.0,28576.0,28626.0,19494.0,26104.0,10171.0,13467.0,8642.0,24917.0,21165.0,13955.0,32581.0
AIv,Agranular insular area ventral part,10240.0,13773.0,9428.0,18483.0,36312.0,12118.0,22062.0,37109.0,9821.0,15879.0,11689.0,15838.0,19235.0,12306.0,12327.0,14827.0,7269.0,7130.0,8873.0,9072.0,7413.0,9282.0,5129.0,3866.0,11743.0,15781.0,62167.0,14611.0,13968.0,27256.0,20453.0,13995.0,22409.0,15596.0,15339.0,33946.0,17454.0,22130.0,21582.0,38341.0,26246.0,28335.0,22962.0,24483.0,28680.0,26180.0,26315.0,26228.0,5457.0,13699.0,11405.0,19692.0,9237.0,20841.0,12039.0,10329.0,26017.0,13822.0,23559.0,4142.0,17602.0,20194.0,9307.0,38527.0
RSPagl,Retrosplenial area lateral agranular part,18139.0,4558.0,14428.0,24639.0,42949.0,25850.0,23915.0,34721.0,15133.0,24749.0,25622.0,30641.0,13331.0,25114.0,13218.0,16085.0,11922.0,19108.0,12079.0,12608.0,13028.0,13841.0,15241.0,13118.0,26242.0,9762.0,36066.0,15133.0,11147.0,17832.0,7208.0,21735.0,34400.0,64558.0,22830.0,90310.0,41925.0,60580.0,42582.0,65221.0,59007.0,55448.0,41924.0,56186.0,42077.0,53631.0,52081.0,61960.0,12104.0,31328.0,8918.0,28492.0,24150.0,24418.0,21312.0,25137.0,34630.0,36011.0,37675.0,10113.0,25583.0,13488.0,14266.0,23081.0
RSPd,Retrosplenial area dorsal part,29553.0,6165.0,15245.0,27147.0,62690.0,31866.0,29657.0,40226.0,18329.0,25369.0,23375.0,35179.0,16741.0,25149.0,13698.0,18772.0,12902.0,21235.0,10266.0,13591.0,16424.0,11048.0,23015.0,14551.0,22295.0,9280.0,33625.0,11297.0,8479.0,18555.0,11241.0,17299.0,33624.0,60029.0,20061.0,87719.0,40698.0,73651.0,55766.0,74338.0,81945.0,73501.0,59648.0,74917.0,57503.0,84147.0,74360.0,96654.0,12719.0,32300.0,8791.0,32183.0,19536.0,15580.0,14952.0,25635.0,35197.0,49432.0,47584.0,12537.0,25110.0,10022.0,11846.0,19378.0
