id,name,acronym,parent_structure_id,depth,count,volume (mm^3),density (cells/mm^3)
-1,background,bkd,-2.0,-1.0,501.0,699.556515625,0.7161680133196887
0,left root,root-L,-1.0,0.0,103465.0,250.9855625,412.234867095194
1,left Basic cell groups and regions,grey-L,0.0,1.0,102830.0,224.5929375,457.8505501759155
2,left Cerebrum,CH-L,1.0,2.0,94748.0,137.89371875,687.1088897948805
3,left Cerebral cortex,CTX-L,2.0,3.0,94202.0,110.753453125,850.5558729052043
4,left Cortical plate,CTXpl-L,3.0,4.0,93166.0,106.300359375,876.4410633019086
5,left Isocortex,Isocortex-L,4.0,5.0,90785.0,61.627640625,1473.121461073296
6,"left Frontal pole, cerebral cortex",FRP-L,5.0,6.0,1427.0,0.4861875,2935.081630029567
7,"left Frontal pole, layer 1",FRP1-L,6.0,7.0,21.0,0.12675,165.68047337278105
8,"left Frontal pole, layer 2/3",FRP2/3-L,6.0,7.0,349.0,0.11703125,2982.109479305741
9,"left Frontal pole, layer 5",FRP5-L,6.0,7.0,908.0,0.185796875,4887.057438398789
10,"left Frontal pole, layer 6a",FRP6a-L,6.0,7.0,149.0,0.05609375,2656.267409470752
11,"left Frontal pole, layer 6b",FRP6b-L,6.0,7.0,0.0,0.000515625,0.0
12,left Somatomotor areas,MO-L,5.0,6.0,42712.0,12.231046875,3492.096828383711
18,left Primary motor area,MOp-L,12.0,7.0,7202.0,5.676734375,1268.6871578344724
19,"left Primary motor area, Layer 1",MOp1-L,18.0,8.0,86.0,0.664609375,129.39931820853417
20,"left Primary motor area, Layer 2/3",MOp2/3-L,18.0,8.0,1587.0,1.8444375,860.4249262986683
21,"left Primary motor area, Layer 5",MOp5-L,18.0,8.0,3649.0,1.636203125,2230.163201772396
22,"left Primary motor area, Layer 6a",MOp6a-L,18.0,8.0,1872.0,1.437953125,1301.85050364559
23,"left Primary motor area, Layer 6b",MOp6b-L,18.0,8.0,8.0,0.09353125,85.53291012362179
24,left Secondary motor area,MOs-L,12.0,7.0,35510.0,6.5543125,5417.806978229983
25,"left Secondary motor area, layer 1",MOs1-L,24.0,8.0,705.0,1.1643125,605.5075420044017
26,"left Secondary motor area, layer 2/3",MOs2/3-L,24.0,8.0,12026.0,1.901640625,6324.012982211084
27,"left Secondary motor area, layer 5",MOs5-L,24.0,8.0,18212.0,2.26159375,8052.728302773211
28,"left Secondary motor area, layer 6a",MOs6a-L,24.0,8.0,4564.0,1.189171875,3837.9649703706623
29,"left Secondary motor area, layer 6b",MOs6b-L,24.0,8.0,3.0,0.03759375,79.8004987531172
30,left Somatosensory areas,SS-L,5.0,6.0,5841.0,16.666171875,350.4704045901363
37,left Primary somatosensory area,SSp-L,30.0,7.0,3927.0,12.1535,323.11679763031225
44,"left Primary somatosensory area, nose",SSp-n-L,37.0,8.0,439.0,1.509703125,290.7856470125542
45,"left Primary somatosensory area, nose, layer 1",SSp-n1-L,44.0,9.0,4.0,0.2028125,19.722650231124806
46,"left Primary somatosensory area, nose, layer 2/3",SSp-n2/3-L,44.0,9.0,30.0,0.3201875,93.69510052703494
47,"left Primary somatosensory area, nose, layer 4",SSp-n4-L,44.0,9.0,10.0,0.274109375,36.48178760759277
48,"left Primary somatosensory area, nose, layer 5",SSp-n5-L,44.0,9.0,337.0,0.283515625,1188.6470101956463
49,"left Primary somatosensory area, nose, layer 6a",SSp-n6a-L,44.0,9.0,57.0,0.402328125,141.67540487009205
50,"left Primary somatosensory area, nose, layer 6b",SSp-n6b-L,44.0,9.0,1.0,0.02675,37.38317757009346
51,"left Primary somatosensory area, barrel field",SSp-bfd-L,37.0,8.0,1798.0,3.145734375,571.5676486511993
52,"left Primary somatosensory area, barrel field, layer 1",SSp-bfd1-L,51.0,9.0,6.0,0.419375,14.307004470938898
53,"left Primary somatosensory area, barrel field, layer 2/3",SSp-bfd2/3-L,51.0,9.0,358.0,0.75821875,472.15925483246093
54,"left Primary somatosensory area, barrel field, layer 4",SSp-bfd4-L,51.0,9.0,269.0,0.641265625,419.482956068322
55,"left Primary somatosensory area, barrel field, layer 5",SSp-bfd5-L,51.0,9.0,916.0,0.603984375,1516.5955245117061
56,"left Primary somatosensory area, barrel field, layer 6a",SSp-bfd6a-L,51.0,9.0,244.0,0.648828125,376.06261288380495
57,"left Primary somatosensory area, barrel field, layer 6b",SSp-bfd6b-L,51.0,9.0,5.0,0.0740625,67.51054852320675
65,"left Primary somatosensory area, lower limb",SSp-ll-L,37.0,8.0,290.0,1.176484375,246.4971113619762
66,"left Primary somatosensory area, lower limb, layer 1",SSp-ll1-L,65.0,9.0,2.0,0.149265625,13.398932272584528
67,"left Primary somatosensory area, lower limb, layer 2/3",SSp-ll2/3-L,65.0,9.0,47.0,0.32325,145.3982985305491
68,"left Primary somatosensory area, lower limb, layer 4",SSp-ll4-L,65.0,9.0,52.0,0.1366875,380.429812528578
69,"left Primary somatosensory area, lower limb, layer 5",SSp-ll5-L,65.0,9.0,122.0,0.278,438.84892086330933
70,"left Primary somatosensory area, lower limb, layer 6a",SSp-ll6a-L,65.0,9.0,65.0,0.263890625,246.31416898573036
71,"left Primary somatosensory area, lower limb, layer 6b",SSp-ll6b-L,65.0,9.0,2.0,0.025390625,78.76923076923077
72,"left Primary somatosensory area, mouth",SSp-m-L,37.0,8.0,202.0,3.105328125,65.04948651762847
73,"left Primary somatosensory area, mouth, layer 1",SSp-m1-L,72.0,9.0,8.0,0.3904375,20.48983512085801
74,"left Primary somatosensory area, mouth, layer 2/3",SSp-m2/3-L,72.0,9.0,36.0,0.7490625,48.06007509386733
75,"left Primary somatosensory area, mouth, layer 4",SSp-m4-L,72.0,9.0,17.0,0.4736875,35.88863966222457
76,"left Primary somatosensory area, mouth, layer 5",SSp-m5-L,72.0,9.0,88.0,0.60871875,144.56594281020588
77,"left Primary somatosensory area, mouth, layer 6a",SSp-m6a-L,72.0,9.0,53.0,0.82609375,64.15736712691508
78,"left Primary somatosensory area, mouth, layer 6b",SSp-m6b-L,72.0,9.0,0.0,0.057328125,0.0
79,"left Primary somatosensory area, upper limb",SSp-ul-L,37.0,8.0,622.0,1.88471875,330.0227155908541
80,"left Primary somatosensory area, upper limb, layer 1",SSp-ul1-L,79.0,9.0,4.0,0.230640625,17.342998441839985
81,"left Primary somatosensory area, upper limb, layer 2/3",SSp-ul2/3-L,79.0,9.0,155.0,0.4891875,316.85192283122524
82,"left Primary somatosensory area, upper limb, layer 4",SSp-ul4-L,79.0,9.0,89.0,0.261640625,340.1612421618393
83,"left Primary somatosensory area, upper limb, layer 5",SSp-ul5-L,79.0,9.0,237.0,0.395625,599.0521327014218
84,"left Primary somatosensory area, upper limb, layer 6a",SSp-ul6a-L,79.0,9.0,134.0,0.470546875,284.7750290552881
85,"left Primary somatosensory area, upper limb, layer 6b",SSp-ul6b-L,79.0,9.0,3.0,0.037078125,80.91024020227559
86,"left Primary somatosensory area, trunk",SSp-tr-L,37.0,8.0,228.0,0.700375,325.53988934499375
87,"left Primary somatosensory area, trunk, layer 1",SSp-tr1-L,86.0,9.0,1.0,0.10228125,9.77696303085854
88,"left Primary somatosensory area, trunk, layer 2/3",SSp-tr2/3-L,86.0,9.0,23.0,0.21225,108.36277974087162
89,"left Primary somatosensory area, trunk, layer 4",SSp-tr4-L,86.0,9.0,9.0,0.07596875,118.46976552858905
90,"left Primary somatosensory area, trunk, layer 5",SSp-tr5-L,86.0,9.0,127.0,0.17646875,719.6741632725341
91,"left Primary somatosensory area, trunk, layer 6a",SSp-tr6a-L,86.0,9.0,66.0,0.11621875,567.894595321323
92,"left Primary somatosensory area, trunk, layer 6b",SSp-tr6b-L,86.0,9.0,2.0,0.0171875,116.36363636363636
93,"left Primary somatosensory area, unassigned",SSp-un-L,37.0,8.0,348.0,0.63115625,551.3690152002773
94,"left Primary somatosensory area, unassigned, layer 1",SSp-un1-L,93.0,9.0,3.0,0.08315625,36.076662908680944
95,"left Primary somatosensory area, unassigned, layer 2/3",SSp-un2/3-L,93.0,9.0,82.0,0.165390625,495.7959376476145
96,"left Primary somatosensory area, unassigned, layer 4",SSp-un4-L,93.0,9.0,28.0,0.09409375,297.5755562935902
97,"left Primary somatosensory area, unassigned, layer 5",SSp-un5-L,93.0,9.0,150.0,0.129125,1161.6650532429817
98,"left Primary somatosensory area, unassigned, layer 6a",SSp-un6a-L,93.0,9.0,84.0,0.146953125,571.6108452950558
99,"left Primary somatosensory area, unassigned, layer 6b",SSp-un6b-L,93.0,9.0,1.0,0.0124375,80.40201005025125
100,left Supplemental somatosensory area,SSs-L,30.0,7.0,1914.0,4.512671875,424.138969776082
101,"left Supplemental somatosensory area, layer 1",SSs1-L,100.0,8.0,11.0,0.624,17.628205128205128
102,"left Supplemental somatosensory area, layer 2/3",SSs2/3-L,100.0,8.0,193.0,1.072484375,179.95600169000133
103,"left Supplemental somatosensory area, layer 4",SSs4-L,100.0,8.0,202.0,0.5831875,346.3723073625549
104,"left Supplemental somatosensory area, layer 5",SSs5-L,100.0,8.0,1209.0,1.092734375,1106.3987988846786
105,"left Supplemental somatosensory area, layer 6a",SSs6a-L,100.0,8.0,295.0,1.037703125,284.2816918374415
106,"left Supplemental somatosensory area, layer 6b",SSs6b-L,100.0,8.0,4.0,0.1025625,39.00060938452163
107,left Gustatory areas,GU-L,5.0,6.0,60.0,0.884859375,67.80738464798432
108,"left Gustatory areas, layer 1",GU1-L,107.0,7.0,1.0,0.0978125,10.223642172523961
109,"left Gustatory areas, layer 2/3",GU2/3-L,107.0,7.0,9.0,0.20109375,44.75524475524476
110,"left Gustatory areas, layer 4",GU4-L,107.0,7.0,0.0,0.0735,0.0
111,"left Gustatory areas, layer 5",GU5-L,107.0,7.0,20.0,0.272515625,73.39028725417121
112,"left Gustatory areas, layer 6a",GU6a-L,107.0,7.0,30.0,0.219875,136.4411597498579
113,"left Gustatory areas, layer 6b",GU6b-L,107.0,7.0,0.0,0.0200625,0.0
114,left Visceral area,VISC-L,5.0,6.0,462.0,1.177078125,392.49731193500855
115,"left Visceral area, layer 1",VISC1-L,114.0,7.0,1.0,0.171578125,5.828248793370367
116,"left Visceral area, layer 2/3",VISC2/3-L,114.0,7.0,8.0,0.268859375,29.75533213227175
117,"left Visceral area, layer 4",VISC4-L,114.0,7.0,29.0,0.09134375,317.48203900102635
118,"left Visceral area, layer 5",VISC5-L,114.0,7.0,371.0,0.35340625,1049.7833583871254
119,"left Visceral area, layer 6a",VISC6a-L,114.0,7.0,51.0,0.267125,190.92185306504444
120,"left Visceral area, layer 6b",VISC6b-L,114.0,7.0,2.0,0.024765625,80.7570977917981
121,left Auditory areas,AUD-L,5.0,6.0,249.0,2.903578125,85.75625978722374
122,left Dorsal auditory area,AUDd-L,121.0,7.0,93.0,0.607375,153.1179254990739
123,"left Dorsal auditory area, layer 1",AUDd1-L,122.0,8.0,2.0,0.098125,20.38216560509554
