id,name,acronym,parent_structure_id,depth,count,volume (mm^3),density (cells/mm^3)
-1,background,bkd,-2.0,-1.0,43.0,699.556515625,0.06146751411725871
0,left root,root-L,-1.0,0.0,109.0,250.9855625,0.4342879284142091
1,left Basic cell groups and regions,grey-L,0.0,1.0,76.0,224.5929375,0.33838998165291817
2,left Cerebrum,CH-L,1.0,2.0,50.0,137.89371875,0.3625980969492129
3,left Cerebral cortex,CTX-L,2.0,3.0,44.0,110.753453125,0.39727880945021327
4,left Cortical plate,CTXpl-L,3.0,4.0,41.0,106.300359375,0.3856995427020399
5,left Isocortex,Isocortex-L,4.0,5.0,8.0,61.627640625,0.1298118817930976
6,"left Frontal pole, cerebral cortex",FRP-L,5.0,6.0,0.0,0.4861875,0.0
7,"left Frontal pole, layer 1",FRP1-L,6.0,7.0,0.0,0.12675,0.0
8,"left Frontal pole, layer 2/3",FRP2/3-L,6.0,7.0,0.0,0.11703125,0.0
9,"left Frontal pole, layer 5",FRP5-L,6.0,7.0,0.0,0.185796875,0.0
10,"left Frontal pole, layer 6a",FRP6a-L,6.0,7.0,0.0,0.05609375,0.0
11,"left Frontal pole, layer 6b",FRP6b-L,6.0,7.0,0.0,0.000515625,0.0
12,left Somatomotor areas,MO-L,5.0,6.0,3.0,12.231046875,0.24527745095409095
18,left Primary motor area,MOp-L,12.0,7.0,1.0,5.676734375,0.17615761702783567
19,"left Primary motor area, Layer 1",MOp1-L,18.0,8.0,0.0,0.664609375,0.0
20,"left Primary motor area, Layer 2/3",MOp2/3-L,18.0,8.0,0.0,1.8444375,0.0
21,"left Primary motor area, Layer 5",MOp5-L,18.0,8.0,1.0,1.636203125,0.6111710610502593
22,"left Primary motor area, Layer 6a",MOp6a-L,18.0,8.0,0.0,1.437953125,0.0
23,"left Primary motor area, Layer 6b",MOp6b-L,18.0,8.0,0.0,0.09353125,0.0
24,left Secondary motor area,MOs-L,12.0,7.0,2.0,6.5543125,0.3051426064900018
25,"left Secondary motor area, layer 1",MOs1-L,24.0,8.0,1.0,1.1643125,0.8588759461055343
26,"left Secondary motor area, layer 2/3",MOs2/3-L,24.0,8.0,0.0,1.901640625,0.0
27,"left Secondary motor area, layer 5",MOs5-L,24.0,8.0,1.0,2.26159375,0.4421660609912811
28,"left Secondary motor area, layer 6a",MOs6a-L,24.0,8.0,0.0,1.189171875,0.0
29,"left Secondary motor area, layer 6b",MOs6b-L,24.0,8.0,0.0,0.03759375,0.0
30,left Somatosensory areas,SS-L,5.0,6.0,4.0,16.666171875,0.24000712521152973
37,left Primary somatosensory area,SSp-L,30.0,7.0,4.0,12.1535,0.32912329781544414
44,"left Primary somatosensory area, nose",SSp-n-L,37.0,8.0,0.0,1.509703125,0.0
45,"left Primary somatosensory area, nose, layer 1",SSp-n1-L,44.0,9.0,0.0,0.2028125,0.0
46,"left Primary somatosensory area, nose, layer 2/3",SSp-n2/3-L,44.0,9.0,0.0,0.3201875,0.0
47,"left Primary somatosensory area, nose, layer 4",SSp-n4-L,44.0,9.0,0.0,0.274109375,0.0
48,"left Primary somatosensory area, nose, layer 5",SSp-n5-L,44.0,9.0,0.0,0.283515625,0.0
