mouse_id,dreadd,treatment,region,value
1,DMSO,saline,RSP,4.556427278
1,DMSO,saline,RSP,4.111245466
1,DMSO,saline,RSP,5.021276596
2,DMSO,saline,RSP,4.792332268
2,DMSO,saline,RSP,4.498393431
2,DMSO,saline,RSP,6.217228464
3,DMSO,saline,RSP,4.926590538
3,DMSO,saline,RSP,5.177030646
3,DMSO,saline,RSP,4.676018704
4,DMSO,saline,RSP,4.794261986
4,DMSO,saline,RSP,3.599071207
4,DMSO,saline,RSP,3.770620581
5,DMSO,psilocybin,RSP,6.960461285
5,DMSO,psilocybin,RSP,6.883116883
5,DMSO,psilocybin,RSP,7.344110855
6,DMSO,psilocybin,RSP,5.444408003
6,DMSO,psilocybin,RSP,4.725959961
6,DMSO,psilocybin,RSP,5.440414508
7,DMSO,psilocybin,RSP,4.804506296
7,DMSO,psilocybin,RSP,5.64489662
7,DMSO,psilocybin,RSP,5.562958028
8,DCZ,saline,RSP,4.201200343
8,DCZ,saline,RSP,2.646118058
8,DCZ,saline,RSP,3.200692042
9,DCZ,saline,RSP,2.926165362
9,DCZ,saline,RSP,4.104234528
9,DCZ,saline,RSP,3.464357095
10,DCZ,saline,RSP,3.797228024
10,DCZ,saline,RSP,3.136479231
10,DCZ,saline,RSP,3.130478337
11,DCZ,saline,RSP,2.325581395
11,DCZ,saline,RSP,3.076923077
11,DCZ,saline,RSP,3.694046067
12,DCZ,psilocybin,RSP,3.95229983
12,DCZ,psilocybin,RSP,3.431210822
12,DCZ,psilocybin,RSP,3.046716317
13,DCZ,psilocybin,RSP,3.377720039
13,DCZ,psilocybin,RSP,3.059895833
13,DCZ,psilocybin,RSP,4.16005081
14,DCZ,psilocybin,RSP,2.625044342
14,DCZ,psilocybin,RSP,3.081347576
14,DCZ,psilocybin,RSP,3.229813665
15,DCZ,psilocybin,RSP,2.916251246
15,DCZ,psilocybin,RSP,2.735087262
15,DCZ,psilocybin,RSP,2.860858257
1,DMSO,saline,Aiv,4.295034433
1,DMSO,saline,Aiv,4.9247851
1,DMSO,saline,Aiv,4.901780797
2,DMSO,saline,Aiv,3.524229075
2,DMSO,saline,Aiv,3.481012658
2,DMSO,saline,Aiv,4.194984767
3,DMSO,saline,Aiv,4.439809297
3,DMSO,saline,Aiv,4.676561187
3,DMSO,saline,Aiv,4.351464435
4,DMSO,saline,Aiv,3.309619548
4,DMSO,saline,Aiv,4.152249135
4,DMSO,saline,Aiv,4.744300678
5,DMSO,psilocybin,Aiv,3.378551318
5,DMSO,psilocybin,Aiv,3.795546559
5,DMSO,psilocybin,Aiv,4.149694501
6,DMSO,psilocybin,Aiv,2.662807525
6,DMSO,psilocybin,Aiv,3.938041481
6,DMSO,psilocybin,Aiv,3.148387097
7,DMSO,psilocybin,Aiv,3.251680035
7,DMSO,psilocybin,Aiv,3.497244595
7,DMSO,psilocybin,Aiv,3.319783198
8,DCZ,saline,Aiv,3.621885
8,DCZ,saline,Aiv,5.432596
8,DCZ,saline,Aiv,5.9238
9,DCZ,saline,Aiv,3.730018
9,DCZ,saline,Aiv,3.851333
9,DCZ,saline,Aiv,4.308005
10,DCZ,saline,Aiv,4.225023
10,DCZ,saline,Aiv,4.243496
10,DCZ,saline,Aiv,4.269721
11,DCZ,saline,Aiv,3.824424
11,DCZ,saline,Aiv,3.823123
11,DCZ,saline,Aiv,4.557522
12,DCZ,psilocybin,Aiv,3.580508
12,DCZ,psilocybin,Aiv,3.259967
12,DCZ,psilocybin,Aiv,3.744799
13,DCZ,psilocybin,Aiv,3.617182
13,DCZ,psilocybin,Aiv,3.866732
13,DCZ,psilocybin,Aiv,3.736614
14,DCZ,psilocybin,Aiv,3.498099
14,DCZ,psilocybin,Aiv,3.084833
14,DCZ,psilocybin,Aiv,3.814935
15,DCZ,psilocybin,Aiv,4.259298
15,DCZ,psilocybin,Aiv,3.171202
15,DCZ,psilocybin,Aiv,3.220892
1,DMSO,saline,TT,2.921157119
1,DMSO,saline,TT,2.888086643
1,DMSO,saline,TT,2.778983934
2,DMSO,saline,TT,2.909189777
2,DMSO,saline,TT,2.838853326
